Name,Symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,tenure,assets,category
Harbor International II,HAIIX,7.98,25.13,7.98,,,,1.25,,0.98,2,"128,461,500",International
Harbor International,HAINX,10.36,18.28,10.36,15.26,13.38,15.09,1.48,*****,0.97,11,"5,358,231,706",International
Hartford Intl Opportunities Y,HAOYX,13.11,15.95,13.11,,,,0.35,,1.2,2,"9,523,758",International
Heritage Eagle Intl Equity Eagle,HEIEX,14.99,18.8,14.99,11.32,,,0,****,2.6,3,"35,652,058",International
Harris Insight International A,HILAX,-4.83,13.47,-4.83,,,,1.06,,1.61,2,"1,651,523",International
Harris Insight International Instl,HILIX,-4.62,13.62,-4.62,,,,1.27,,1.36,2,"200,018,526",International
Hansberger Instl International,HINTX,-6.94,14.61,-6.94,,,,1.2,,1,,"200,055,007",International
Harding Loevner International Equity,HLMIX,10.2,17.77,10.2,6.8,,,1.45,***,1,4,"347,858,645",International
HighMark International Equity Fid,HMIQX,15.18,18.15,15.18,3.6,,,0.35,***,1.18,0,"97,063,394",International
Hotchkis & Wiley International,HWINX,6.42,15.5,6.42,9.84,9.05,,2.11,***,0.89,8,"1,406,342,610",International
IAI International,IAINX,1.83,11.36,1.83,1.89,3,6.19,0.24,***,1.67,8,"32,139,879",International
Barr Rosenberg Intl Small Cap Instl,ICSIX,4.12,10.53,4.12,,,,1.05,,1.5,2,"41,100,021",International
IDS International Y,IDIYX,15.5,19.48,15.5,8.89,,,0.57,***,1.06,1,"77,433,199",International
Invesco International Blue Chip,IIBCX,,,,,,,,,,,"7,200,000",International
ISG International Equity A,IIEAX,9.48,18.79,9.48,,,,0.25,,1.77,1,"27,276,245",International
Intrust Intl Multi-Mgr Stk Instl Svc,IMSSX,11.08,15.1,11.08,,,,1.33,,,1,,International
1838 International Equity,INTEX,17.52,21.16,17.52,11.78,,,0,****,1.25,3,"52,106,888",International
Gradison International,INTFX,12.95,17.9,12.95,7.91,,,0,***,2,3,"33,689,405",International
Mentor Perpetual International Y,INTLX,13.53,16.89,13.53,,,,0.96,,1.1,2,"11,352,722",International
MSDW International Small Cap D,ISMDX,4.55,9.54,4.55,,,,0,,,1,"291,306",International
Ivy International I,IVIIX,7.75,16.52,7.75,12.78,,,1.28,****,1.18,4,"153,495,024",International
Jamestown International Equity,JAMIX,23.95,18.11,23.95,,,,0.75,,1.6,0,"47,085,113",International
Janus Overseas,JAOSX,16.03,17.77,16.03,20.9,,,0.49,*****,1.01,4,"4,329,000,279",International
John Hancock International Equity,JHIEX,18.77,21.93,18.77,6.09,,,1.09,***,1,3,"8,900,000",International
UAM Jacobs International Octagon,JIOPX,-5.01,8.77,-5.01,,,,0.82,,1.49,1,"100,148,673",International
JP Morgan Instl International Equity,JNUSX,13.62,20.21,13.62,7.74,7.43,,2.98,***,0.93,5,"362,173,417",International
JP Morgan Instl International Opport,JPIOX,3.83,22.09,3.83,,,,2.89,,0.99,1,"291,496,891",International
Kent International Growth Instl,KNINX,17.91,19.5,17.91,8.58,8.88,,1.1,***,1.05,0,"528,499,548",International
Kent International Growth Invmt,KNIVX,17.6,19.36,17.6,8.28,8.62,,1.09,***,1.3,0,"12,389,637",International
Lexington International,LEXIX,19.02,17.09,19.02,11.16,8.99,,0.49,***,1.75,4,"22,898,010",International
LKCM International,LKINX,10.1,15.65,10.1,,,,0,,,1,"56,895,222",International
Longleaf Partners International,LLINX,,,,,,,,,,,,International
Legg Mason International Equity Prim,LMGEX,8.49,14.93,8.49,8.75,,,1.08,***,2.17,3,"258,530,185",International
Loomis Sayles International Eqty Inst,LSIEX,9.32,15.02,9.32,8.59,6.46,,1.09,***,1,2,"76,014,308",International
Lazard International Equity Instl,LZIEX,16.04,17.96,16.04,14.49,11.22,,0.89,****,0.89,7,"2,876,842,107",International
Lazard International Equity Open,LZIOX,15.82,17.99,15.82,,,,0.56,,1.25,,"47,237,191",International
Lazard International Small Cap Instl,LZISX,7.55,7.01,7.55,7.64,3.92,,0.43,***,1.09,5,"177,782,993",International
MainStay Instl EAFE Index Instl Svc,MAESX,18.83,19.65,18.83,8.15,,,1.45,***,1.19,4,"447,000",International
Merrill Lynch International Index A,MAIIX,28.05,27.57,28.05,,,,1.19,,0.86,1,"117,771,486",International
MainStay Instl Intl Equity Instl Svc,MAUSX,22.2,19.29,22.2,12.67,,,2.7,****,1.25,4,"618,000",International
Merrill Lynch International Index D,MDIIX,27.69,27.45,27.69,,,,0.92,,1.11,1,"14,890,668",International
